"ID","AbidanceID","idlong","LineNumber","hhnumber","bcode","tencell","FirstName","LastName","dob","village","villagename","subvillagename","subvillage","balozi_first_name","balozi_second_name","hhfname","hhsname","Sex","residencestartdate","residenceenddate","starteventname","current_status","endeventname","hholdestFirst","hholdestLast"
1,700001,11223344001,1,11223344,11223,23,"SUZANA","LEONARD","1979-07-15",4,"Kisesa","Kanyama",5,"NDALAHWA","MINZIMALI","KOYE","SAHANI","F","1995-01-16","2003-10-12","Returning migrant","M","Out migrant individual","SUZANA","KAPAMI"
2,700002,11223344002,2,11223344,11223,23,"WILLIAM","IDIRISA","1991-07-15",1,"Igekemaja","Bukelebe",3,"MERESIANA","MASASILI","EUPHRACE","LUGOGA","M","2008-10-06","2008-12-15","Returning migrant","M","Out migrant individual","MAKULATA","SHAGEMBE"
3,700003,11223344003,3,11223344,11223,23,"ANTONY","JAMES","1999-08-15",6,"Ihayabuyaga","Changabe",7,"DOTTO","LUCHANGANYA","TATU","FAUSTIN","M","1999-04-28","2014-06-15","New migrant new HH","M","Out migrant individual","MAGENI","LWAMBA"
4,700004,11223344004,4,11223344,11223,23,"PAUL","JULIUS","1976-07-15",1,"Igekemaja","Igudija A",1,"CHARLES","KASANDA","ENOCK","PETRO","M","2013-03-01","2014-07-16","Returning migrant","R","Censored at last round","MIKOBA","MAKALANGA"
5,700005,11223344005,5,11223344,11223,23,"JEREMIA","CHARLES","1997-07-15",5,"Isangijo","Ihala",4,"THOBIAS","SOJI","BERNADETHA","EDWARD","M","1997-03-29","1997-10-23","New migrant new HH","M","Out migrant individual","GEORGE","LUCAS"
6,700006,11223344006,6,11223344,11223,23,"JACKLIN","JEREMIA","2000-07-15",6,"Ihayabuyaga","Iseni Bondeni",2,"NDALAHWA","MASHIBA","PAUL","SENGEREMA","M","2009-01-15","2011-07-01","New migrant individual","M","Out migrant individual","DAVID","SHABO"
7,700007,11223344007,7,11223344,11223,23,"ZABIBU","MWENDESHA","1976-07-15",3,"Kanyama","Igudija A",1,"MERY","MATHIAS","MARIAM","IBENGWE","M","1997-11-12","2004-06-15","New migrant new HH","M","Out migrant individual","MICHAEL","YOMBO"
8,700008,11223344008,8,11223344,11223,23,"MAGRETH","MASHAURI","1981-07-15",2,"Kitumba","Ilendeja",5,"RUSIA","NKELEJIWA","KUSEKWA","JOHN","F","1999-02-27","2014-09-26","Returning migrant","M","Out migrant individual","ISACK","BUSWELU"
9,700009,11223344009,9,11223344,11223,23,"KAZINZA","MARTINI","1944-07-15",3,"Kanyama","Wita",3,"ELISHA","SIMON","JAMES","WILLIAM","M","1994-09-08","2014-09-01","Returning migrant","R","Censored at last round","SABINA","KULWA"
10,700010,11223344010,10,11223344,11223,23,"SAMWEL","MASAGA","2004-07-01",6,"Ihayabuyaga","Bukala",5,"YOHANA","LUTOBA","BULEGANI","MANYECHA","M","1999-02-04","2014-04-22","New migrant individual","R","Censored at last round","THEREZA","LUTANDULA"
11,700011,11223344011,11,11223344,11223,23,"WILLIAM","MAWAZO","1993-07-15",6,"Ihayabuyaga","Ng’wang’halanga",4,"JAMES","BUKOMBE","LUCAS","KAIJAGE","M","2008-08-14","2014-07-22","New migrant new HH","M","Out migrant whole HH","MPELWA","EVARIST"
12,700012,11223344012,12,11223344,11223,23,"MANUGWA","MATHIAS","1993-07-15",4,"Kisesa","Ng'wahuli",6,"ADELAIDE","ELIAS","BALIZA","SHAGEMBE","F","1997-05-02","1999-05-04","Baseline","R","Censored at last round","LUGOYE","PETER"
13,700013,11223344013,13,11223344,11223,23,"MARIAM","KAZWENGE","1995-06-06",5,"Isangijo","Ng'wabongoso",2,"ROBERT","SAHANI","MAYENGA","CHARLES","F","2012-06-15","2014-06-20","New migrant new HH","M","Out migrant individual","LUKOBA","JOSEPH"
14,700014,11223344014,14,11223344,11223,23,"RAHEL","SIMBACHALI","1984-07-01",3,"Kanyama","Mwabuki",4,"JOSEPH","DUNDO","TABU","JOSEPH","F","1995-06-09","2003-12-07","Birth","M","Out migrant individual","MASOMI","MANAWA"
15,700015,11223344015,15,11223344,11223,23,"AGNES","JOHN","1988-07-15",3,"Kanyama","Iseni Bondeni",2,"ADELAIDE","MAKOBA","CHRISTINA","NGELEJA","F","1994-06-02","2004-01-15","Baseline","L","Lost to follow-up","ROBERT","LUNYATU"
16,700016,11223344016,16,11223344,11223,23,"CHAMA","MAYALA","1965-07-15",2,"Kitumba","Wita",3,"JUMA","HILYA","ISACKA","KAZUNGU","M","1994-05-06","2000-09-16","New migrant new HH","M","Out migrant individual","MALIJA","SHIJA"
17,700017,11223344017,17,11223344,11223,23,"EMMANUEL","MULOBA","1988-07-15",6,"Ihayabuyaga","Njicha",3,"MOSSES","JAMES","YOMBO","JOHN","F","2002-10-15","2014-04-29","Birth","L","Lost to follow-up","MAYIKU","BEGA"
